aplicaciones,category
6752,Business
6186,Education
2072,Games
1434,Entertainment
1050,Finance
676,Productivity
538,Utilities
516,Lifestyle
495,Music
474,Book
333,Travel
328,Reference
323,Medical
220,Stickers
204,Social Networking
203,Photo & Video
168,News
167,Shopping
143,Sports
123,Health & Fitness
108,Food & Drink
46,Navigation
22,Magazines & Newspapers
14,Graphics & Design
14,Weather
2,Developer Tools
